Time Series Search Export,Search term,Search filters,,Last update of Effective exchange rates data,Downloaded at,Source,Source URL,Download URL,About Effective exchange rates
,,,,2024-09-19,2024-09-25 01:47 CEST,BIS,https:/data.bis.org/topics/EER/BIS%2CWS_EER%2C1.0/D.N.B.US?view=chart,https:/data.bis.org/topics/EER/BIS%2CWS_EER%2C1.0/D.N.B.US?view=chart&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel,https://data.bis.org/topics/EER

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,EER_TYPE:Type,EER_BASKET:Basket,REF_AREA:Reference area,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-07-17,F:Free,,A:Normal value,77.8
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-07-18,F:Free,,A:Normal value,77.84
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-07-19,F:Free,,A:Normal value,77.7
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-07-20,F:Free,,H:Missing value; holiday or weekend,
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-07-21,F:Free,,H:Missing value; holiday or weekend,
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-07-22,F:Free,,A:Normal value,77.62
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-07-23,F:Free,,A:Normal value,77.53
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-07-24,F:Free,,A:Normal value,77.61
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-07-25,F:Free,,A:Normal value,77.48
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-07-26,F:Free,,A:Normal value,77.69
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-07-27,F:Free,,H:Missing value; holiday or weekend,
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-07-28,F:Free,,H:Missing value; holiday or weekend,
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-07-29,F:Free,,A:Normal value,77.7
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-07-30,F:Free,,A:Normal value,77.56
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-07-31,F:Free,,A:Normal value,77.36
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-08-01,F:Free,,A:Normal value,77.43
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-08-02,F:Free,,A:Normal value,77.47
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-08-03,F:Free,,H:Missing value; holiday or weekend,
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-08-04,F:Free,,H:Missing value; holiday or weekend,
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-08-05,F:Free,,A:Normal value,77.42
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-08-06,F:Free,,A:Normal value,77.55
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-08-07,F:Free,,A:Normal value,77.56
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-08-08,F:Free,,A:Normal value,77.65
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-08-09,F:Free,,A:Normal value,77.59
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-08-10,F:Free,,H:Missing value; holiday or weekend,
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-08-11,F:Free,,H:Missing value; holiday or weekend,
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-08-12,F:Free,,A:Normal value,77.48
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-08-13,F:Free,,A:Normal value,77.47
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-08-14,F:Free,,A:Normal value,77.58
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-08-15,F:Free,,A:Normal value,77.58
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-08-16,F:Free,,A:Normal value,77.62
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-08-17,F:Free,,H:Missing value; holiday or weekend,
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-08-18,F:Free,,H:Missing value; holiday or weekend,
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-08-19,F:Free,,A:Normal value,77.62
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-08-20,F:Free,,A:Normal value,77.63
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-08-21,F:Free,,A:Normal value,77.6
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-08-22,F:Free,,A:Normal value,77.72
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-08-23,F:Free,,A:Normal value,77.58
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-08-24,F:Free,,H:Missing value; holiday or weekend,
"BIS,WS_EER,1.0",D.N.B.US,D:Daily,N:Nominal,B:Broad (64 economies),US:United States,"Index, 2020 = 100",,1996-08-25,F:Free,,H:Missing value; holiday or weekend,
